Alarm,Sub-Code,Message,Cause
4426,0001-001F, PULSE MECHANICAL LIMIT (MIN.) , The manipulator exceeded its motion limit (mechanical limit) in the negative (- ) direction. 
4427,0001-001F, PULSE MECHANICAL LIMIT (MAX.) , The manipulator exceeded its motion limit (mechanical limit) in the positive (+) direction. 
4428,0001-0009, SEGMENT CONTROL ERROR , An error occurred in the real-time processing section that controls the arithmetic section due to: - Software bugs - Invalid NCP30 RAM memory The sub code stands for the alarm factor. 
4429,0001-0013, WRONG SPECIFIED CONTROL GROUP, An error occurred in the manipulator information at job execution due to: - Software bugs - Invalid NCP30 RAM memory The sub code stands for the alarm factor.
4430,0001,CPU COMMUNICATION ERROR ,An error occurred in the manipulator information at job execution due to: - Software bugs - Invalid NCP30 RAM memory The sub code stands for the alarm factor. 
4431,0001-0006, JHM ERROR , Data error occurred in job control process due to: - Software bugs - Invalid NCP30 RAM memory The sub code stands for the alarm factor. 
4432,0001-0009, INSTRUCTION INTERPRETER ERROR , An error occurred in instruction interpretation/ execution process due to: - Software bugs - Invalid NCP30 RAM memory The sub code stands for the alarm factor. 
4433,0000-0007, UNDEFINED GLOBAL VARIABLE , The global variable is not defined. The sub code stands for the variable type. 00: byte type 01: integer type 02: double-precision integer type 03: real type 04: character string type 05: robot-axis position type 06: base-axis position type 07: station-axis position type 
4435,0000-0007, UNDEFINED LOCAL VARIABLE , The local variable is not defined. The sub code stands for the variable type. 00: byte type 01: integer type 02: double-precision integer type 03: real type 04: character string type 05: robot-axis position type 06: base-axis position type 07: station-axis position type 
4438,, UNDEFINED JOB , The job to be executed is not registered in the memory. 
4439,, UNDEFINED LAVEL , An error occurred in label jump execution. The label for jump destination does not exist in the job. 
4440,, UNDEFINED RETURN JOB , Call source job does not exist in the job call stack. 
4441,, LACK OF LOCAL VARIABLE AREA, An error occurred when memory area for local variable was obtained. Memory area is lacking because too many local variables in the job are used.
4444,,UNSUCCESSFUL FINE POSITIONING ,"When PL = 0 or an external servo turned OFF, the number of the servo error pulses did not fall in the limit range that had been set in a parameter, within the specified time. "
4445,0001-00FF, DATA PRESET ERROR , Data error occurred at job prereading reinterpretation due to: - Software bugs - Invalid NCP30 RAM memory The sub code stands for the alarm factor. 
4446,0001, OVER VARIABLE LIMIT, The value for the binary (0/1) data type variable exceeded the limit. 
4446,0002, OVER VARIABLE LIMIT, The value for the signed 1-byte data type variable is less than the minimum value. 
4446,0004, OVER VARIABLE LIMIT, The value for the signed 2-byte data type variable is less than the minimum value. 
4446,0006, OVER VARIABLE LIMIT, The value for the signed 4-byte data type variable is less than the minimum value. 
4446,0008, OVER VARIABLE LIMIT, The value for the real-number 4-byte data type variable is less than the minimum value. 
4446,8002, OVER VARIABLE LIMIT, The value for the signed 1-byte data type variable exceeded the maximum value. 
4446,8003, OVER VARIABLE LIMIT, The value for the unsigned 1-byte data type variable exceeded the maximum value. 
4446,8004, OVER VARIABLE LIMIT, The value for the signed 2-byte data type variable exceeded the maximum value. 
4446,8005, OVER VARIABLE LIMIT, The value for the unsigned 2-byte data type variable exceeded the maximum value. 
4446,8006, OVER VARIABLE LIMIT, The value for the signed 4-byte data type variable exceeded the maximum value. 
4446,8007, OVER VARIABLE LIMIT, The value for the unsigned 4-byte data type variable exceeded the maximum value. 
4446,8008, OVER VARIABLE LIMIT, The value for the real-number 4-byte data type variable exceeded the maximum value. 
4446,800C, OVER VARIABLE LIMIT, The value for the label-name type variable exceeded the maximum value. 
4446,800D, OVER VARIABLE LIMIT, The value for the job-name type variable exceeded the maximum value.
4446,800E,OVER VARIABLE LIMIT ,The value for the character-string type variable exceeded the maximum value. 
4446,800F,OVER VARIABLE LIMIT , The value for comment type variable exceeded the maximum value. 
4449,, UNMATCHE D POSNVAR DATA ERROR , The storage destination data (pulse/ Cartesian) is different from the storage source data. 
4450,0001-000E, FILE NO. ERROR , This alarm occurs when the interpretation/ execution process detects abnormal internal data due to: - Software bugs - Invalid NCP30 RAM memory The sub code stands for the alarm factor. 
4452,, STACK MORE THAN 8 (JOB CALL) , An attempt was made to add more than eight stacks in the job call stack. 
4453,, OVER VARIABLE NO. , The variable number (the variable number which an attempt was made to use for subcode) is out of range. 
4459,, EXCESSIVE INSTRUCTION EQUATION , An error occurred in expression operation. The operation is impossible because the expression is too long. 
4460,, ZERO DEVIDED OCCURRENCE , An error occurred in operation instruction. Zero division occurred. 
4466,0000, OFFLINE UNDEFINED COMMAND (ARITH) , An undefined command was issued to the offline position-data preparation section due to: - Software bugs - Invalid NCP30 RAM memory 
4473,0000, ARITHMETIC ALARM RESET ERROR , The alarm occurred in the calculation section could not be reset due to: - Software bugs - Invalid NCP30 RAM memory 
4474,0001 or 0002, WRONG CONTROL GROUP AXIS , The CALL/JUMP destination job could not be executed. An attempt was made to call or jump to a job whose control group cannot be controlled. The sub code stands for the related control-group. 
4475,0000, CANNOT EXECUTE JOB (NO ROBOT) , An attempt was made to execute a job without robot axis. The robot axis is not designated for the control-group of the job at execution of a work instruction that uses a manipulator. 
4496,0001-000D, PARAMETER ERROR, This alarm occurs when an abnormal parameter is detected in the arithmetic process. The sub code stands for the alarm factor.
4498,,CANNOT EXECUTE JOB (NO GRP AXIS) ,An error occurred in a job without control group. An attempt was made to execute an instruction that could not be executed in a job without control group. 
4499,, UNDEFINED POSITION VARIABLE , The position type variable is not registered. An attempt was made to use the position type variable that was not set. (Subcode: The variable number) 
4501,, OUT OF RANGE (PARALLEL PROCESS) , The number of tasks exceeded the limit. An error occurred in the multi-task control process for the independent control function. (Sub code: Task number) 
4507,, REFP POS ERROR (SEARCH MOTION) ," Incorrect teaching point for search detection ï The search start point and the motion target point are the same, or the distance between the two points is too short. "
4508,0000-0010, SPECIFIED ERROR (COORDINATE) , An invalid coordinate system was specified. The specified coordinate system does not exist. The sub code stands for the coordinate system. 01:master tool coordinate system 02: tool coordinate system 06: conveyor coordinate system 07: weaving coordinate system 08: COMARC coordinate system 0A: cylindrical coordinate system 0B: coordinate system for the external reference point 0C: coordinate system for 3D shifting 0F: coordinate system at IMOV for 3D shifting 10: H-LINK type cylindrical coordinate system 
4513,0001-001F, EXCESSIVE SEGMENT (SAFETY: 1) : LOW ," At the safety speed 1, the manipulator motion speed exceeded the speed limit value (LOW level). The sub code stands for the axis. "
4514,0001-001F, EXCESSIVE SEGMENT (SAFETY: 1) : HIGH ," At the safety speed 1, the manipulator motion speed exceeded the speed limit value (HIGH level). The sub code stands for the axis. "
4515,0001-001F, EXCESSIVE SEGMENT (SAFETY: 2) : LOW ," At the safety speed 2, the manipulator motion speed exceeded the speed limit value (LOW level). The sub code stands for the axis. "
4516,0001-001F, EXCESSIVE SEGMENT (SAFETY: 2) : HIGH," At the safety speed 2, the manipulator motion speed exceeded the speed limit value (HIGH level). The sub code stands for the axis."
4517,,SEARCH MONITOR SET ERROR (SERVO) ,An error occurred in search/monitoring mode settings in servo section due to: - Software bugs - Invalid NCP30 RAM memory (Subcode: The related control-group) 
4518,, SEARCH MON RELEASE ERROR , An error occurred in search/monitoring mode releasing in servo section due to: - Software bugs - Invalid NCP30 RAM memory (Subcode: The related control-group) 
4521,0000-0001, WRONG JOB TYPE , ï A robot job was started from the concurrent job at CALL/JUMP instruction execution. 
4521,0000-1001, WRONG JOB TYPE , ï A concurrent job was started from the robot job at CALL/JUMP instruction execution. 
4521,1000-0001, WRONG JOB TYPE , ï A system job was started from the robot job at CALL/JUMP instruction execution. 
4524,, CANNOT EXECUTE INST (CONCUR JOB) , There was an unexecutable instruction such as move instruction in the concurrent job. 
4525,, SPECIFIED JOB EXECUTION IMPOSSIBILITY , An error occurred at startup of multisystem job. The specified job could not be executed. 
4528,, SYNTAX ERROR , An error occurred in the instruction syntax. The function and the corresponding instruction data is inconsistent in the system software. (Subcode: Box number) 
4537,0001-0003, OFFLINEMAIL BOX PROCESSING ERROR , An error occurred in mail box control in the offline processing section due to: - Software bugs - Invalid NCP30 RAM memory The sub code stands for the alarm factor. 
4543,, JOB CALL STACK ERROR ," At job return, an attempt was made to fetch a data from an empty job call stack or to stack a data in the job call stack that is full. "
4544,0001, MID$ ERROR , The first character of character string to be extracted is null at MID$ instruction execution. 
4544,0002, MID$ ERROR , The extraction start position exceeds the character string length at MID$ instruction execution. 
4546,, CANNOT EXECUTE SYSTEM JOB , The system job could not be executed. ï An error in the system number of system job. (Subcode: System number) 
4547,, PRIMITIVE ERROR, The error occured in the OS. The sub code stands for the error code from the OS.
4548,,CANNOT OPERATE SPECIFIED EVENT QUE ,The specified event could not be operated at INIEVNT instruction execution. 
4549,, INIEVNT NOT EXECUTED , INIEVNT instruction was not executed before having executed the event related process. (Subcode: System number) 
4550,, CANNOT EXECUTE INST (USER JOB) , The specified instruction in the user job could not be executed. (Subcode: System number) 
4599,0000, SERVO COMMAND ERROR , An abnormal response was returned from the servo control section. The servo control processing has not completed. 
4606,, GLOBAL VARIABLE AREA OVERFLOW , The memory area of global variable exceeded the limit value. An error occurred in the value of parameter that defines the number of global (user) variables. 
4628,, DUPLICATE WRITE VARIABLE ," In the command which returns multiple outputs, same variable is used for the setting value for outputs. "
4800,, WDT ERROR (CONVERTER), Watchdog timer error in the converter. No response from the converter.
9001,0000-0004,Manipulator / Pre-Aligner Secondary Power OFF [ W2] ,IThis alarm occurs when the servos are off and a command is sent that requires the servo power to be on. The sub code stands for the alarm factor. 
9002,0001, Manipulator Homing Not Completed [W2] ," This alarm occurs if any motion command other than MABS or MRLK, MRLN, ISYS is received when the manipulator is not located in the ISYS position, MIN or, RDY positions. "
9003,0001-0002, CRSM Command Inexecutable [W2] , This alarm occurs when the CHLT command has not been executed or the external HOLD signal is OPEN when CRSM command is requested from host. The sub code stands for the alarm factor. 01: CRSM command was received even though CHLT command hadn't been received. 02: CRSM command was received while external HOLD signal (EXHOLD) was OPEN 
9004,0001-001B, MTRS Command Not Completed [W2], This alarm occurs if the manipulator is not located in ready position when MGET or MPUT or MPNT is requested. The sub code stands for the command in which the alarm is detected.
9005,0001-000E,Execution Disabled Command [W2] ,"This alarm occurs if the requested command cannot be executed by the cause indicated by the sub code. The sub code stands for the alrarm factor. 01: An unexecutable command for the specified unit was sent. 03: CSRV command (Servo ON) for manipulator was received during alarm occurrence. 04: CSRV command (Servo ON) for manipulator was received during emer gency stop. 05: CSRV command (Servo ON) for pre-aligner was received in the system of which parameter was set to ""Pre-aligner setting : Disabled"". 06: CSRV command (Servo ON) for pre-aligner was received during alarm occurrence. 07: CSRV command (Servo ON) for pre-aligner was received during emer gency stop. 09: CLFT command was received even though the parameter of the system was set to ""Lifter existence: w/o lifter"" or ""Lifter control enable/disable: Disabled,"". 0C: In the system of which Upper End-Effector is not Edge Grip, SPOS and SABS for mapping position were received. 0D: ISYS command for pre-aligner was received even though the parameter of the system was set to ""Pre-aligner setting: Disabled"". 0E: SPRM and DPRM were received during Servo ON status. "
9006,0001-000D, Disabled Point Motion [W2] , This alarm occurs when a point that the manipulator cannot move to is specified by MPNT command. The sub code stands for the alrarm factor. 
9007,0001-0002, Execution Disabled for ISYS Command for Pre-Aligner [W2] , This alarm occurs if ISYS for the manipulator hasn't been completed when ISYS command is requested by the host of the pre-aligner. The sub code stands for the alrarm factor. 
9008,0001, Impossible to Read Mapping Data [W2] , This alarm occurs if RMAP command is received for a station at which mapping has not been executed. 
9009,0001, Uploading/Downloading [W2] , This alarm occurs if another command is received while uploading / downloading position data or parameters. 
9010,0001-0031, Position Unregistered [W2], This alarm occurs if the teaching for the specified station has not finished when a command is requested from host. The sub code stands for the alrarm factor.
9011,0001-0007,Incorrect Station Attribute [W2] ,"This alarm occurs in the following cases; ï Teaching is executed for the station which has an incorrect parameter setting. ï A via point, which is not defined in the station attribute parameter, is taught. The sub code stands for the alrarm factor. 01: Control method of swung wrist axis (Parameter i300 to i319) value of the corresponding station is set to other than 0/1/2. 02: Automatic ready position generation (Parameter i320 to i339) of the corresponding station is set to other than 0/1. 03: Number of via point (Parameter i340 to i359) value of the corresponding station is set to other than 0/1/2/3. 04: End-Effector Swapable position (Parameter i360 to i379) value of the corresponding station is set to 0 - 31. 05: The IM3 position, of the station which was defined as ""IM3: None"" in Number of via point (Parameter i340 to i359) , was taught. 06: The IM2 position, of the station which was defined as ""IM2: None"" in Number of via point (Parameter i340 to i359) , was taught. 07: The IM1 position, of the station which was defined as ""IM1: None"" in Number of via point (Parameter i340 to i359) , was taught. "
9031,0001, Unit Number Error [W2] ," This alarm occurs when the command for the pre-aligner is received in pre-aligner unit disabled system. It also occurs if the command of which unit number is set to other than 1,2 is received. "
9032,0001, Undefined Command Error [W2] ," This alarm occurs if an undefined command is received. In addition, this alarm occurs in case that a command is requested to a wrong unit. "
9033,0001-00BF, Message Parameter Error [W2] , This alarm occurs when the parameter attached to a command is not correct when a command is requested from host. The sub code stands for the alrarm factor. 
9035,0001-000B, CEMG Command Executed [A1]," This alarm occurs when the CEMG command is received while the unit is moving, and also after receiving CEMG command, the motion command is received before receiving CCLR command. The sub code stands for the alrarm factor."
9036,0001-000C,Access Permission Error 1 [W2] ,Time-out of access permission signal 1 to the specified station occurs. The following cases can be the causes for this alarm; ï The access permission signal 1 is not input. ï Incorrect wiring between the host and the controller. The sub code stands for the command in which the alarm is detected. 
9037,0001-000C, Access Permission Error 2 [W2] , Time-out of access permission signa2 1 to the specified station occurs. The following cases can be the causes for this alarm; ï The access permission signal 2 is not input. ï Incorrect wiring between the host and the controller. The sub code stands for the command in which the alarm is detected. 
9038,0001-000C, Access Permission Error 3 [W2] , Time-out of access permission signal 3 to the specified station occurs. The following cases can be the causes for this alarm; ï The access permission signal 3 is not input. ï Incorrect wiring between the host and the controller. The sub code stands for the command in which the alarm is detected. 
9039,0001-000C, Access Permission Error 4 [W2] , Time-out of access permission signal 4 to the specified station occurs. The following cases can be the causes for this alarm; ï The access permission signal 4 is not input. ï Incorrect wiring between the host and the controller. The sub code stands for the command in which the alarm is detected. 
9040,0001-000C, Access Permission Error 5 [W2], Time-out of access permission signal 5 to the specified station occurs. The following cases can be the causes for this alarm; ï The access permission signal 5 is not input. ï Incorrect wiring between the host and the controller. The sub code stands for the command in which the alarm is detected.
9041,0001-000C,Access Permission Error 6 [W2] ,Time-out of access permission signal 6 to the specified station occurs. The following cases can be the causes for this alarm; ï The access permission signal 6 is not input. ï Incorrect wiring between the host and the controller. The sub code stands for the command in which the alarm is detected. 
9042,0001-000C, Access Permission Error 7 [W2] , Time-out of access permission signal 7 to the specified station occurs. The following cases can be the causes for this alarm; ï The access permission signal 7 is not input. ï Incorrect wiring between the host and the controller. The sub code stands for the command in which the alarm is detected. 
9043,0001-000C, Access Permission Error 8 [W2] , Time-out of access permission signal 8 to the specified station occurs. The following cases can be the causes for this alarm; ï The access permission signal 8 is not input. ï Incorrect wiring between the host and the controller. The sub code stands for the command in which the alarm is detected. 
9046,0001, Home Motion Disabled [W2] , This alarm occurs if the manipulator doesn't meet the requirements for the HOME command when MHOM or ISYS from host is executed. 
9049,0001, Home Motion Disabled [W2] , This alarm occurs if the manipulator doesn't meet the requirements for the HOME command when MHOM or ISYS from host is executed. 
9050,0001-0003, Access Permission for Pre-Aligner Stage Error 1 [W2], This alarm occurs if the command to move the manipulator to the pre-aligner station is executed while the pre-aligner is operating. The sub code stands for the alarm factor.
9051,0001,Pre-Aligner Station Access Interlock Error [W2] ,This alarm occurs if the manipulator is instructed to access the pre-aligner while the pre-aligner is chucking a wafer. The following cases can be the causes for this alarm; ï The wafer is not released. ï The parameter setting value is incorrect. ï The foreign objects are blocking the chucking face. ï Vacuum air failure ï Pressure switch failure 
9052,0001-0013, Lower end-effector: Wafer Presence Check Time-out [W2]," This alarm occurs when the pressure switch cannot detect a wafer within the time specified in the manipulator parameter I030/i031 (Set value at shipping: 200, Unit: 10ms). The causes for this alarm can be as follows; <Vacuum gripp> ï Teaching error ï Error in command sending order ï Parameter setting error ï Vacuum leak ï Solenoid valve failure ï Pressure switch failure <Edge grip> ï Improper teaching ï Error in command sending order ï Parameter setting error ï CDA leak ï Solenoid valve failure ï Grip sensor failure The sub code stands for the timing when the alarm occurs."
9053,0001-0015,Lower end-effector: Wafer Absence Check Time-out [W2] ,"This alarm occurs when the pressure switch doesn't detect the absence of the wafer within the time specified in the manipulator parameter I030/i031 (Set value at shipping: 200, Unit: 10ms). The causes for this alarm can be as follows; <Vacuum Grip> ï Improper teaching ï Error in command sending order ï Parameter setting error ï Vacuum blockage ï Solenoid valve failure ï Pressure switch failure <Edge Grip> ï Improper Teaching ï Error in command sending order ï Parameter setting error ï Solenoid valve failure ï Pressure switch failure The sub code stands for the timing when the alarm occurs. "
9054,0001-0013, Upper end-effector: Wafer Presence Check Time-out [W2]," This alarm occurs when the pressure switch cannot detect a wafer within the time specified in the manipulator parameter I030/i031 (Set value at shipping: 200, Unit: 10ms). The causes for this alarm can be as follows; <Vacuum gripp> ï Teaching error ï Error in command sending order ï Parameter setting error ï Vacuum leak ï Solenoid valve failure ï Pressure switch failure <Edge grip> ï Improper teaching ï Error in command sending order ï Parameter setting error ï CDA leak ï Solenoid valve failure ï Grip sensor failure The sub code stands for the timing when the alarm occurs."
9055,0001-0016,Upper end-effector: Wafer Absence Check Time-out [W2] ,"This alarm occurs when the pressure switch doesn't detect the absence of the wafer within the time specified in the manipulator parameter I030/i031 (Set value at shipping: 200, Unit: 10ms). The causes for this alarm can be as follows; <Vacuum Grip> ï Improper teaching ï Error in command sending order ï Parameter setting error ï Vacuum blockage ï Solenoid valve failure ï Pressure switch failure <Edge Grip> ï Improper Teaching ï Error in command sending order ï Parameter setting error ï Solenoid valve failure ï Pressure switch failure The sub code stands for the timing when the alarm occurs. "
9056,0001, Lower end-effector: Wafer Drop Error [W2]," This alarm occurs when the pressure switch signal has changed its status from ""with wafer (ON)"" to ""without wafer (OFF)"" while a wafer is being transported. The causes for this alarm can be as follows; <Vacuum Grip> ï Improper teaching ï Parameter setting error ï Vacuum leak ï Solenoid valve failure ï Pressure switch failure <Edge Grip> ï Improper Teaching ï Parameter setting error ï CDA leak ï Solenoid valve failure ï Wafer grip sensor failure"
9057,0001,Upper end-effector: Wafer Drop Error [W2] ,"This alarm occurs when the pressure switch signal has changed its status from ""with wafer (ON)"" to ""without wafer (OFF)"" while a wafer is being transported. The causes for this alarm can be as follows; <Vacuum Grip> ï Improper teaching ï Parameter setting error ï Vacuum leak ï Solenoid valve failure ï Pressure switch failure <Edge Grip> ï Improper Teaching ï Parameter setting error ï CDA leak ï Solenoid valve failure ï Wafer grip sensor failure "
9059,0001, CCD Data Error [W2] , This alarm occurs if the data valid for alignment calculation (The pixel position for wafer edge detection : 3 to 2047) is less than 75 % out of all sampling data. The following cases can be the causes for this alarm; ï The wafer size and the ready position don't correspond with each other. ï The teaching position for the manipulator is not correct. ï The standard position of the pre-aligner is not correct. ï There is dust or dirt or scratch on the lens of the linear sensor or the filter. ï The wafer is deviated while sampling the data. ï The linear sensor is broken 
9061,0001, Wafer Center Detection Error [W2], This alarm occurs when the center of the wafer cannot be detected. The following cases can be the causes for this alarm; ï The wafer is deformed. ï The dust is attached to the wafer edge. ï There is dust or dirt or scratches on the lens of the linear sensor or the filter. ï The wafer has shifted while the data is being sampled. ï The linear sensor is broken
9062,0001,Excessive Wafer Eccentricity [W2] ,This alarm occurs when the eccentricity of the wafer exceeds 5mm as the result of the alignment. The followings can be the causes for this alarm; ï Teaching error for the manipulator ï Incorrect standard position (300mm ready position) of the pre-aligner 
9063,0001, Notch/ Orientation Flat Detection Error [W2] , This alarm occurs if the notch or the oriental flat cannot be detected. The following cases can be the causes for this alarm; ï The wafer is deformed. ï Dust is attached to the wafer edge. ï The wafer is chipped ï There is dust or dirt or scratches on the lens of the linear sensor or the filter. ï The wafer shifted while the data is being sampled. ï The linear sensor is broken 
9065,0001-0002, Mapping Sensor Error [W2] ," This alarm occurs if the mapping sensor signal is ON (shielded) at the mapping start position. The followings can be the causes for this alarm; ï Teaching error ï The sensor is shielded by something ï The deviation of the source axis ï Mapping sensor error The sub code stands for the alarm factor, This alarm occurs if the mapping calibration motion has not been completed when MMAP command is received. "
9067,0001, Mapping Calibration Not Executed [W2] ," This alarm occurs if the number of the wafers detected by MMCA command is not the following number. ï Simple mode (B variable B041=0): 2 wafers, ï All slot mode (B variable B041=1): Slot number "
9068,0001-0004, Mapping Data Error [W2] ," This alarm also occurs if a wafer has been detected at the height where there is no slot by MMAP command. The sub code stands for the alarm factor, "
9070,0001, Non-Host Mode Error [W2] , This alarm occurs if a command is received from the host when the mode is not set to host-mode. The causes for this alarm can be as follows; ï Mode setting mistake ï Teaching pendant failure ï Teaching pendant dummy connector is broken ï NIF30 board failure 
9073,0001-0007, Command in Execution Error [W2], This alarm occurs when another command from the host is received while executing a command.
9076,0001-0003,Message Length Error [W2] ,"This alarm occurs when receiving a command with a different length specified for each command, or when receiving the command with a message longer than 1024 characters, or when receiving an MACR instruction longer than 64 characters. The sub code stands for the alarm factor. "
9077,0001, Checksum Error [W2] , This alarm occurs when the checksum value in the received message differs from the checksum value of the received message. The causes for this alarm can be as follows; ï Message error ï Wrong parameter setting ï Loosing of a connector ï Noise ï Communication cable failure ï NCP30 board failure 
9083,0001-000F, Lower end-effector: Plunger motion Time-out [W2] ," This alarm occurs if the sensor flag of the plunger doesn't shade a wafer grip sensor within the time specified by the manipulator parameter I021 (Set value at shipping: 80, Unit 10ms). The causes for this alarm can be as follows: ï The plunger motion speed has decelerated. ï CDA leak ï Solenoid valve failure ï Sensor flag has been deformed ï Wafer grip sensor failure ï Parameter setting error The sub code stands for the timing when the alarm occurs. "
9084,0001-000F, Upper end-effector: Plunger motion Time-out [W2]," This alarm occurs if the sensor flag of the plunger doesn't shade a wafer grip sensor within the time specified by the manipulator parameter I021 (Set value at shipping: 80, Unit 10ms). The causes for this alarm can be as follows: ï The plunger motion speed has decelerated. ï CDA leak ï Solenoid valve failure ï Sensor flag has been deformed ï Wafer grip sensor failure ï Parameter setting error The sub code stands for the timing when the alarm occurs."
9085,0001-0006,Pre-Aligner Lifter motion Time-out [W2] ,This alarm occurs if the lifter motion is not completed within 2 seconds after the instruction is output toward pre-aligner lifter. The causes for this alarm can be as follows; ï Compressed dry air error ï Solenoid valve error ï Lifter sensor error ï Lifter sensor position deviation The sub code stands for the timing when the alarm occurs. 
9087,0001-0004, Servo ON Failure [W2] , This alarm occurs when the servo is not turned ON within 2 seconds after the servo ON instruction is output. This alarm is caused by the other error occurrence. 
9088,0001, CCD or Pressure Sensor Error [W2] ," This alarm occurs only when executing the ISYS command of pre-aligner. The pre-aligner moves to 300mm ready position first. And then if the pressure switch detects a wafer and the linear sensor doesn't detect a wafer, the pre-aligner moves to the 200mm ready position. In the case that the linear sensor cannot detect a wafer at 200mm ready position, this alarm occurs. The causes for this alarm can be as follows; ï Compressed dry air error ï Wafer deviation ï Screening of chucking opening by foreign object ï Vacuum piping obstruction ï Pressure switch failure ï linear sensor failure "
9089,0001, Pre-Aligner Station Access Intaerlock Error [W2] , This alarm occurs if the manipulator with a straight-type end-effector tries to access the pre-aligner when it is not located in the upper end position. The causes for this alarm can be as bellows: ï Operation mistake ï Parameter setting error ï CDA leak ï Lifter sensor position deviation ï Lifter sensor failure 
9090,0001, Pre-Aligner Station Access Intaerlock Error [W2], This alarm occurs when putting a wafer on the pre-aligner even though the linear sensor is detecting a wafer . The causes for this alarm can be as follows; ï Operation mistake ï Incorrect command sending order ï Parameter setting error ï Linear sensor is spotted with dust or dirt ï Linear sensor has a scratch on it ï Linear sensor failure
9091,0001-0002,No Pre-Aligner Wafer [W2] ,"This alarm occurs if the wafer cannot be chucked with in the time specified in the pre-aligner parameter i030 (set value at shipping: 100, unit: 10ms ) when executing MALN and MACA. The causes for this alarm can be as follows; ï There is no wafer on the pre-aligner ï Vacuum leak ï Pressure switch failure "
9092,0001-0011, Emergency Stop [A1]," This alarm occurs when; ï There is no wafer on the pre-aligner ï Emergency stop button on teaching pendant is pressed ï External emergency stop signal is OPEN ï A command is requested under the status that the emergency stop on teaching pendant is being pressed or the teaching pendant dummy connector is not connected or external emergency stop signal is OPEN. The sub code stands for the alrarm factor. 01:CCHK command was received during emergency stop. 02:CCLR command was received during emergency stop. 03:CSRV command (Servo ON) for manipulator was received during emergency stop. 04:Emergency stop was requested while servo ON processing for manipulator was being executed. 05:CSRV command (Servo ON) for pre- aligner was received during emer gency stop. 06:Emergency stop was requested while servo ON processing for pre-aligner was being executed. 07:CLFT command was received during emergency stop. 08,0F:Emergency stop for the manipula tor was received. 09,10:Emergency stop for the pre-aligner was received. 0A,0B:MACR command was received during emergency stop. 0C:Motion command was received dur ing emergency stop. 0D:ISYS command was received during emergency stop. 0E:Control command other than CEMG, CCLR and HRST was received during emergency stop. 11:HRST command was received during emergency stop."
9093,0001-0004,Pre-Aligner Lifter Position Error [W2} ,"This alarm occurs if alignment or calibration is requested when the pre-aligner lifter, of which setting is ""Set pre-aligner lifter"" and ""No pre-aligner lifter control"", is not located in the lower end position. "
9094,0001, Pre-Aligner Wafer Chuch Time-out [W2] ," This alarm occurs if the wafer cannot be chucked within the time specified in the pre-aligner parameter i030 (set value at shipping: 100, unit: 10ms) when executing CCHK command. The causes for this alarm can be as follows: ï No wafer is on the pre-aligner ï Vacuum leaking ï Pressure switch failure "
9095,0001, Pre-Aligner Wafer Release Time-out Error [W2] ," This alarm occurs if the chuck/release operation cannot be executed within the time specified in the pre-aligner parameter I030 (set value at shipping: 100, unit: 10ms) when executing CCHK command. The causes of this alarm are; ï Blockage of vacuum air ï Solenoid valve failure ï Pressure Switch system failure "
9096,0001, CCD or Pressure Sensor Error [W2] , This alarm occurs if the linear sensor detects the wafer even though the pressure switch is not detecting any wafer when executing ISYS command. The causes for this alarm can be as follows; ï Blockage of vacuum air ï There is dust or dirt or scratches on the lens of the linear sensor or the filter. ï Linear sensor failure ï Vacuum leak ï Pressure switch failure 
9097,0001-0007, User Task Stopped [W2] ," The alarm also occurs if the user task cannot start up by CCLR or MABS, MRLK, MRLR, ISYS. The sub code stands for the command in which the alarm is detected. "
9098,0001-0005, System Error [F]," Failure in error number: detects the error as an undefined error, ""0000"", though the system error signal is on."
9100,0001-0002,MACRO Accept Error [W2] ,A new transfer command is sent during the process of another transfer command. The sub code stands for the unit in which the alarm is detected. 01: Manipulator 02: Pre-aligner 
9101,0001-0023, Position Calculation Error [W2] ," This alarm occurs if the route calculated during teaching a position or during a system motion command is outside the motion range of the manipulator. The causes are; When instructing teaching position, ï Blockage of vacuum air ï Position name is instructed incorrectly. (such as STA) ï End-Effector is instructed incorrectly. (1/ 2) ï Parameter error R460 to R479 and R480 to R499 When moving to relative position, ï The motion distance instruction is out of the operation range. When executing a transport system command. ï Parameter error R120 to R319 (Transfer offset) Sub code differs depending on the command at alarm occurrence. "
9102,0001, System JOB Not Registered [F] , This alarm occurs if any system JOB is registered. 
9103,0001, System JOB Not Started [F] , System JOB is stopped because of other alarm occurrences. 
9104,0001-000C, SAFE Signal OPEN [A1] ," This alarm occurs in the following cases; ï Fence signal (both SAFF1 and 2 ) is open while the manipulator or prealigner is moving ï CCLR, CSRV, MACR, ISYS or motion command is received in the status that fence signal ( both SAFF1 and 2 ) is open. Sub code differs depending on the command at alarm occurrence. "
9105,0001-000C, EXSVON Signal OPEN [A1]," This alarm occurs in the following cases; ï External servo power ON signal (EXSVON) is open while the manipulator or pre-aligner is moving ï CCLR, CSRV, MACR, ISYS or motion command is received in the status that external servo power ON signal is open. Sub code differs depending on the command at alarm occurrence."
9106,0001-000A,EXHOLD Signal OPEN [W2] ,"This alarm occurs if CCLR, MACR, ISYS or motion command is received in the status that external hold signal (EXHOLD) is open. Sub code differs depending on the command at alarm occurrence. "
